survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,3,male,22,1,0,7.25,s,third,man,true,NA,southampton,no,false
1,2,male,24,0,0,13,s,2 nd,man,true,NA,southampton,yes,true
1,1,female,38,1,0,71.2833,c,first,woman,false,c,cherbourg,yes,false
1,3,female,26,0,0,7925,s,third,woman,false,NA,southampton,yes,true
1,1,female,35,1,0,53.1,s,first,woman,false,c,southampton,yes,false
0,3,male,35,0,0,8.05,s,third,man,true,NA,southampton,no,true
0,3,male,NA,0,0,8.4583,q,third,man,true,NA,queenstown,no,true
0,3,male,35,0,0,8.05,s,third,man,true,NA,southampton,no,true
0,1,male,54,0,0,518.625,s,first,man,true,e,southampton,no,true
0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,3,male,2,3,1,21075,s,third,child,false,NA,southampton,no,false
1,3,female,27,0,2,11.1333,s,third,woman,false,NA,southampton,yes,false
1,2,female,14,1,0,30.0708,c,second,child,false,NA,cherbourg,yes,false
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,female,4,1,1,16.7,s,third,child,false,g,southampton,yes,false
1,1,f,58,0,0,26.55,s,first,woman,false,c,southampton,NA,true
0,3,male,20,0,0,8.05,s,third,man,true,NA,southampton,no,true
0,3,male,-39,1,5,31.275,s,third,man,true,NA,southampton,no,false
0,3,m,14,0,0,7.8542,s,third,child,false,NA,southampton,no,true
1,2,female,55,0,0,16,s,second,woman,false,NA,southampton,yes,true
0,3,male,2,4,1,29125,q,third,child,false,NA,queenstown,no,false
1,2,male,NA,0,0,13,s,second,man,true,NA,southampton,yes,true
0,3,female,31,1,0,18,s,third,woman,false,NA,southampton,no,false
1,3,f,4,1,1,16.7,s,third,child,false,g,southampton,yes,false
